Monat,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1881-01-01,-5.36,-5.54,-5.56,-4.89,-6.51,-5.68,-5.07,-4.55,-4.55,-4.21,-4.49,-4.06,-4.15,-6.22,-5.89,-6.28,-6.76
1881-02-01,-0.10,-1.00,-1.01,1.33,-0.73,0.75,-2.01,-0.05,-0.07,1.64,1.45,-1.81,2.25,-0.92,-0.42,-0.34,-0.25
1881-03-01,2.61,1.71,1.70,4.42,2.50,3.43,0.40,2.20,2.19,3.81,4.49,0.54,5.37,1.79,2.20,2.18,2.14
1881-04-01,5.55,5.56,5.55,6.63,5.01,5.88,4.63,5.64,5.64,6.44,6.65,5.02,7.08,4.41,5.51,5.04,4.43
1881-05-01,11.81,12.85,12.83,11.44,10.99,12.15,11.58,12.03,12.03,12.55,12.25,11.16,12.38,11.49,12.57,12.05,11.40
1881-06-01,15.08,15.73,15.71,15.30,14.65,15.30,15.08,14.90,14.90,15.37,15.56,14.80,15.83,14.52,15.46,15.07,14.59
1881-07-01,18.60,19.19,19.16,19.08,18.40,18.77,17.92,18.40,18.40,19.04,19.01,17.45,19.29,18.25,19.09,18.62,18.04
1881-08-01,15.90,16.48,16.47,16.70,16.11,15.80,15.37,15.42,15.42,15.58,16.14,15.16,16.46,15.83,16.08,15.70,15.21
1881-09-01,12.06,12.69,12.67,11.71,11.22,11.98,12.39,12.56,12.56,12.76,12.15,12.72,12.19,11.53,12.39,11.93,11.35
1881-10-01,4.99,5.55,5.53,4.47,4.08,4.75,5.93,5.53,5.54,5.60,5.08,6.33,5.21,4.28,5.17,4.72,4.15
1881-11-01,5.67,6.01,5.99,5.62,4.00,5.93,5.63,6.51,6.50,7.21,6.36,5.92,6.48,5.11,6.08,5.72,5.26
1881-12-01,0.92,1.41,1.39,0.09,-0.36,0.81,1.61,1.92,1.93,1.85,0.95,2.22,0.97,0.50,1.31,0.91,0.41
1882-01-01,0.41,1.43,1.42,-0.65,-1.33,-0.30,1.59,1.73,1.73,1.26,-0.17,2.11,-0.04,0.63,1.18,0.60,-0.12
1882-02-01,1.54,2.06,2.05,0.72,-0.60,1.44,2.01,3.03,3.03,3.07,1.68,2.74,2.24,1.43,2.24,1.84,1.33
