Jahr,Russia
1881-01-01,-13.2
1881-02-01,-9.5
1881-03-01,-6.2
1881-04-01,1.0
1881-05-01,11.5
1881-06-01,15.3
1881-07-01,18.2
1881-08-01,15.8
1881-09-01,8.7
1881-10-01,2.0
1881-11-01,-3.0
1881-12-01,-7.8
1882-01-01,-3.0
1882-02-01,-5.4
1882-03-01,0.2
1882-04-01,3.2
1882-05-01,13.2
1882-06-01,15.5
1882-07-01,20.1
1882-08-01,18.9
1882-09-01,11.1
1882-10-01,1.2
1882-11-01,-4.1
1882-12-01,-12.7
1883-01-01,-16.6
1883-02-01,-10.8
1883-03-01,-6.9
1883-04-01,2.5
1883-05-01,14.3
1883-06-01,17.3
1883-07-01,18.7
1883-08-01,14.8
1883-09-01,12.8
1883-10-01,4.8
1883-11-01,0.5
1883-12-01,-5.0
1884-01-01,-10.0
1884-02-01,-8.2
1884-03-01,-7.7
1884-04-01,-0.4
1884-05-01,9.0
1884-06-01,16.7
1884-07-01,17.0
1884-08-01,12.3
1884-09-01,8.1
1884-10-01,5.0
1884-11-01,-3.0
1884-12-01,-3.8
1885-01-01,-11.0
1885-02-01,-7.1
1885-03-01,-3.2
1885-04-01,1.5
1885-05-01,11.8
1885-06-01,14.2
1885-07-01,22.1
1885-08-01,13.9
1885-09-01,9.2
1885-10-01,5.0
1885-11-01,-6.2
1885-12-01,-6.9
1886-01-01,-9.0
1886-02-01,-13.9
1886-03-01,-6.7
1886-04-01,5.0
1886-05-01,11.3
1886-06-01,15.2
1886-07-01,17.9
1886-08-01,15.6
1886-09-01,9.2
1886-10-01,2.4
1886-11-01,0.1
1886-12-01,-2.2
1887-01-01,-7.8
1887-02-01,-7.5
1887-03-01,-6.4
1887-04-01,4.1
1887-05-01,14.7
1887-06-01,13.3
1887-07-01,17.9
1887-08-01,15.2
1887-09-01,12.8
1887-10-01,3.4
1887-11-01,-2.1
1887-12-01,-5.7
1888-01-01,-14.2
1888-02-01,-11.2
1888-03-01,-9.9
1888-04-01,5.3
1888-05-01,10.5
1888-06-01,12.8
1888-07-01,17.2
1888-08-01,15.2
1888-09-01,10.5
1888-10-01,4.2
1888-11-01,-3.4
1888-12-01,-14.1
