Jahr,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1951-01-01,4.60,2.69,2.68,6.90,6.01,3.29,2.88,4.45,4.47,4.84,4.06,5.18,4.83,3.67,3.24,3.49,3.82
1952-01-01,4.38,1.66,1.68,8.50,6.61,3.29,1.63,2.55,2.53,5.11,5.54,2.42,6.76,3.45,2.65,2.93,3.29
1953-01-01,3.46,2.72,2.69,5.86,5.05,3.08,2.04,2.22,2.21,3.77,2.48,2.82,2.13,2.64,2.32,2.47,2.67
1954-01-01,6.01,4.55,4.51,7.78,8.77,3.63,3.33,5.29,5.30,7.08,3.26,5.82,4.16,8.16,4.05,3.85,3.59
1955-01-01,5.13,2.93,2.95,8.72,7.65,3.70,4.03,4.19,4.22,3.57,3.81,3.96,5.02,4.28,4.72,4.36,3.89
1956-01-01,5.54,3.60,3.59,8.04,7.91,5.59,2.40,4.33,4.28,6.77,4.19,2.34,5.64,5.70,4.46,4.62,4.83
1957-01-01,4.72,2.21,2.22,6.47,7.46,3.62,2.20,4.28,4.25,5.48,3.77,3.67,6.41,4.71,2.85,2.81,2.75
1958-01-01,5.62,2.91,2.89,10.39,8.67,4.80,2.04,3.65,3.65,5.92,4.42,2.82,8.93,5.35,3.52,4.08,4.80
1959-01-01,3.82,4.44,4.40,6.03,6.99,1.82,2.79,1.12,1.12,2.04,2.46,1.69,3.64,5.11,2.72,2.98,3.31
1960-01-01,5.62,2.13,2.14,7.23,7.10,5.68,3.68,5.77,5.76,7.83,4.36,6.05,6.45,4.89,3.14,3.83,4.73
1961-01-01,5.29,3.05,3.05,6.89,7.08,5.46,2.23,5.74,5.71,6.29,4.81,3.20,7.89,3.67,3.95,4.26,4.66
1962-01-01,3.58,1.00,0.99,6.88,5.78,3.43,1.33,2.85,2.84,3.90,3.81,2.84,6.63,1.18,1.29,1.59,1.99
1963-01-01,3.88,1.45,1.46,7.49,5.87,3.95,2.13,2.85,2.86,3.38,3.72,3.14,6.73,2.39,1.83,2.38,3.10
1964-01-01,3.55,2.18,2.17,5.91,6.47,2.68,1.37,2.06,2.04,3.37,3.08,1.64,4.87,2.85,2.26,2.14,1.98
1965-01-01,6.31,2.88,2.88,10.79,9.10,6.17,2.58,4.32,4.34,7.06,5.94,7.06,10.22,5.09,3.69,3.95,4.28
1966-01-01,6.76,3.76,3.73,8.66,10.51,7.22,3.20,4.78,4.75,8.67,6.18,4.84,6.55,5.42,3.93,4.82,5.98
1967-01-01,5.14,2.76,2.80,6.60,6.89,6.03,2.87,4.28,4.28,5.05,6.50,4.63,9.67,4.83,3.25,3.76,4.42
1968-01-01,5.70,3.62,3.61,10.32,7.85,4.98,4.21,4.42,4.43,5.52,5.99,4.63,7.95,3.17,2.95,3.34,3.84
1969-01-01,4.28,2.85,2.87,7.89,5.66,3.77,2.84,3.17,3.16,4.22,3.34,3.78,5.34,3.46,2.38,3.04,3.90
1970-01-01,5.41,1.46,1.48,9.04,8.71,3.53,2.66,4.39,4.40,5.82,4.82,4.49,7.69,4.33,3.69,3.58,3.43
1971-01-01,3.71,2.09,2.08,5.55,6.31,3.62,1.85,2.66,2.67,3.06,3.14,2.33,4.16,3.19,2.47,2.58,2.72
1972-01-01,4.90,3.50,3.49,7.71,6.28,5.94,3.71,3.60,3.58,4.50,4.77,2.87,3.83,3.80,3.87,4.44,5.18
1973-01-01,3.57,1.17,1.16,7.95,5.95,2.72,1.50,1.92,1.91,2.76,2.48,4.09,3.94,3.59,1.07,1.74,2.62
1974-01-01,4.68,3.25,3.19,7.11,8.49,3.42,1.40,2.31,2.31,5.00,3.26,2.45,4.72,6.43,2.25,2.61,3.07
1975-01-01,3.95,2.42,2.40,6.72,7.31,2.57,2.09,2.40,2.39,2.64,3.56,2.31,4.98,3.54,1.90,2.33,2.88
1976-01-01,2.94,0.60,0.61,6.23,5.63,1.97,1.73,1.93,1.94,2.65,2.57,1.76,2.91,1.21,0.68,0.96,1.33
1977-01-01,5.31,3.01,3.04,8.30,8.19,5.41,2.11,3.57,3.56,3.91,4.31,3.01,5.46,6.25,4.65,5.32,6.20
1978-01-01,5.08,2.52,2.52,9.97,8.63,3.75,2.11,2.83,2.85,4.65,4.64,2.66,9.04,4.99,1.76,2.53,3.54
1979-01-01,4.97,1.61,1.60,7.47,9.41,4.73,2.67,2.31,2.29,5.38,5.94,2.53,8.70,3.69,1.60,2.38,3.40
1980-01-01,5.09,2.58,2.59,7.27,7.66,3.90,3.29,3.25,3.25,5.69,4.99,5.60,7.83,5.55,2.72,3.17,3.76
1981-01-01,7.60,3.80,3.82,10.39,11.99,8.41,4.02,5.23,5.21,7.77,8.43,4.42,10.40,7.32,3.86,5.20,6.96
1982-01-01,4.13,0.65,0.65,9.71,6.62,4.61,0.64,2.29,2.27,4.58,5.87,2.43,9.47,2.04,0.54,1.16,1.97
1983-01-01,4.90,2.88,2.87,8.55,7.15,4.02,2.15,3.46,3.44,4.55,4.45,3.37,8.66,4.79,3.35,3.79,4.36
1984-01-01,5.97,1.74,1.75,8.60,7.37,7.73,2.61,4.34,4.32,9.87,7.89,5.38,9.58,3.60,2.82,4.05,5.65
1985-01-01,3.56,0.77,0.76,6.72,7.58,2.94,0.90,1.67,1.67,3.33,2.48,2.50,2.87,2.00,1.18,1.63,2.22
1986-01-01,6.34,2.94,2.94,12.15,8.40,6.06,2.22,4.28,4.26,7.87,6.91,4.86,11.41,5.33,3.26,4.06,5.10
1987-01-01,5.53,3.35,3.34,9.49,8.93,5.59,2.74,2.87,2.85,5.83,5.10,2.30,7.52,4.90,2.59,3.63,4.98
1988-01-01,4.63,0.95,0.94,9.29,8.53,3.89,1.32,2.55,2.53,5.26,4.22,2.98,6.10,2.69,1.26,2.05,3.08
1989-01-01,4.18,1.50,1.51,6.09,6.26,4.69,1.66,3.65,3.66,4.25,4.54,5.18,4.89,3.10,1.55,2.31,3.31
1990-01-01,5.26,2.72,2.68,8.43,7.92,4.88,2.58,3.75,3.77,5.79,5.93,6.04,8.29,2.99,2.64,2.76,2.92
