Jahr,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1951-01-01,27.53,37.41,37.31,32.33,33.02,26.58,18.79,20.05,20.00,22.99,26.34,10.48,26.20,34.23,31.02,28.81,25.93
1952-01-01,30.70,34.57,34.49,43.11,39.09,32.60,15.08,19.93,19.87,24.63,33.90,9.71,33.49,35.86,32.37,32.10,31.75
1953-01-01,32.96,43.81,43.75,34.13,37.02,32.87,27.80,27.07,27.06,26.95,30.68,19.28,30.20,39.05,37.96,35.82,33.02
1954-01-01,17.18,21.48,21.48,19.54,18.89,17.23,9.95,14.07,14.02,16.30,19.19,7.79,21.27,20.66,19.83,18.34,16.40
1955-01-01,21.40,32.59,32.50,20.98,17.56,20.23,18.30,20.74,20.75,21.86,24.32,18.28,24.48,23.44,24.76,21.42,17.07
1956-01-01,13.50,18.37,18.32,16.71,17.51,11.40,7.66,9.14,9.16,9.45,11.96,6.40,13.21,18.36,15.24,14.39,13.28
1957-01-01,23.67,31.33,31.27,25.75,25.09,23.92,18.14,19.15,19.13,20.86,23.99,12.61,25.25,27.84,28.89,26.77,24.00
1958-01-01,23.68,22.89,22.89,33.52,30.34,23.82,11.16,17.91,17.83,23.78,25.93,7.14,22.56,25.86,22.80,22.06,21.09
1959-01-01,41.17,41.86,41.84,44.14,36.47,49.85,27.59,43.96,43.86,50.57,51.18,26.03,48.18,36.20,44.48,41.17,36.84
1960-01-01,16.43,21.67,21.62,19.52,20.27,15.14,9.71,12.07,12.06,13.55,14.73,6.57,14.12,19.87,20.95,18.58,15.49
1961-01-01,26.75,30.27,30.19,34.95,32.77,25.42,15.12,18.67,18.63,23.64,28.14,12.32,30.68,32.10,29.97,28.20,25.89
1962-01-01,19.34,18.49,18.48,33.97,30.47,20.24,4.48,6.64,6.60,10.33,23.72,2.55,26.40,26.03,18.58,19.01,19.57
1963-01-01,24.59,40.18,40.10,25.98,25.17,23.73,20.57,17.98,17.98,17.38,22.46,11.40,21.62,34.78,34.16,29.38,23.15
1964-01-01,38.45,42.83,42.84,45.74,42.19,44.24,24.66,30.21,30.09,37.47,44.09,13.51,44.26,45.18,42.57,41.48,40.06
1965-01-01,13.46,18.50,18.47,18.40,17.42,13.18,6.91,7.67,7.62,9.14,12.77,2.49,12.27,18.64,16.68,15.25,13.39
1966-01-01,25.16,35.06,35.01,26.10,23.96,25.58,20.30,22.62,22.58,24.20,24.75,13.01,25.32,30.58,31.31,28.09,23.89
1967-01-01,27.30,34.49,34.49,35.46,31.76,29.04,16.53,17.57,17.48,24.52,30.75,8.28,30.80,34.75,29.54,28.25,26.56
1968-01-01,24.31,41.94,41.89,20.77,22.34,19.65,22.11,23.47,23.47,20.01,16.77,17.14,15.43,32.98,35.41,29.51,21.80
1969-01-01,34.26,45.70,45.73,33.50,31.99,34.59,30.41,31.67,31.78,33.38,35.55,26.45,38.78,38.52,40.67,36.33,30.66
1970-01-01,28.98,43.40,43.35,31.18,30.43,26.51,21.66,25.12,25.12,26.23,27.14,16.58,27.85,33.38,34.16,29.89,24.32
1971-01-01,33.11,45.88,45.85,36.42,33.88,33.23,29.21,26.70,26.69,27.70,33.37,17.47,33.77,39.73,39.72,36.68,32.72
1972-01-01,21.23,31.17,31.17,20.70,23.53,17.94,19.07,17.53,17.53,16.31,17.63,13.64,17.76,28.17,26.78,23.65,19.57
1973-01-01,35.75,42.18,42.18,38.48,35.57,40.40,25.29,29.85,29.85,36.61,43.45,21.69,45.20,40.22,40.72,37.80,33.99
1974-01-01,16.37,18.19,18.15,21.50,19.68,17.55,9.23,10.92,10.87,13.49,21.51,6.07,24.98,19.16,18.11,16.73,14.92
1975-01-01,38.25,52.41,52.45,33.80,35.63,38.64,35.71,37.45,37.46,35.68,37.47,30.23,37.47,43.22,47.01,42.10,35.70
1976-01-01,40.80,43.03,43.02,43.47,38.49,47.50,26.58,39.40,39.43,45.21,54.21,32.81,56.67,35.84,43.85,41.15,37.63
1977-01-01,16.28,20.17,20.17,19.27,20.00,17.07,9.47,12.23,12.24,13.25,18.23,7.19,17.92,18.42,17.49,16.46,15.11
1978-01-01,18.11,25.78,25.71,18.04,16.94,16.88,17.29,17.77,17.76,16.34,16.11,15.23,13.53,19.46,22.21,19.30,15.50
1979-01-01,24.04,32.08,32.04,29.10,28.24,21.49,17.57,17.75,17.72,19.28,23.23,11.98,23.09,29.90,28.02,25.21,21.54
1980-01-01,16.18,17.78,17.71,19.38,18.32,16.24,7.85,14.36,14.33,17.40,16.32,9.18,15.27,15.65,18.57,17.39,15.85
1981-01-01,23.59,30.03,29.95,28.88,29.06,20.60,16.02,18.96,18.92,19.91,22.14,11.73,22.82,25.63,25.66,23.37,20.38
1982-01-01,40.90,53.99,53.87,39.95,40.68,43.99,31.47,35.26,35.15,39.44,44.50,26.30,43.30,45.14,49.57,46.42,42.31
1983-01-01,47.30,54.11,54.07,50.42,50.23,49.15,34.29,42.94,42.91,47.16,51.35,32.61,54.24,48.75,51.95,48.84,44.77
1984-01-01,17.97,22.04,21.91,21.67,17.38,18.46,13.23,15.84,15.83,17.59,20.90,11.32,22.41,18.30,21.20,18.75,15.55
1985-01-01,24.59,30.53,30.42,34.42,30.81,20.81,15.63,16.40,16.37,19.52,24.53,10.36,27.71,29.00,27.84,25.00,21.30
