Monat,Deutschland,Brandenburg/Berlin,Brandenburg,Baden-Wuerttemberg,Bayern,Hessen,Mecklenburg-Vorpommern,Niedersachsen,Niedersachsen/Hamburg/Bremen,Nordrhein-Westfalen,Rheinland-Pfalz,Schleswig-Holstein,Saarland,Sachsen,Sachsen-Anhalt,Thueringen/Sachsen-Anhalt,Thueringen
1951-01-01,30.9,45.2,45.3,30.6,34.5,22.8,39.7,24.4,24.6,23.3,23.9,35.8,21.5,37.6,28.0,26.0,23.5
1951-02-01,57.3,67.0,67.2,65.9,63.7,49.7,56.1,44.6,44.5,52.1,59.1,37.5,59.8,80.6,50.2,50.5,50.9
1951-03-01,110.1,129.5,129.5,96.3,98.9,114.6,117.4,114.6,114.9,105.0,107.3,117.9,110.3,116.9,118.1,115.7,112.7
1951-04-01,199.1,227.3,227.4,195.6,198.0,189.0,226.3,185.3,185.4,180.3,187.5,189.3,196.8,223.6,208.2,204.0,198.7
1951-05-01,203.3,195.3,195.5,197.8,192.2,202.7,244.1,211.1,211.5,203.8,205.3,243.9,216.2,200.5,180.5,182.2,184.4
1951-06-01,210.2,245.1,245.3,194.2,198.7,190.0,255.5,212.8,213.4,191.4,190.1,251.0,190.8,223.8,210.6,203.7,195.0
1951-07-01,238.8,252.6,252.6,270.6,258.0,238.3,248.3,205.1,205.3,202.2,241.8,213.4,270.7,248.7,229.5,233.3,238.1
1951-08-01,204.1,213.9,214.1,213.8,220.7,201.5,203.9,192.5,192.8,179.8,198.1,196.3,213.4,226.3,186.6,188.6,191.2
1951-09-01,175.1,205.3,205.3,170.7,173.1,165.8,196.2,167.8,168.0,149.1,173.7,166.9,190.9,182.6,191.9,183.2,172.3
1951-10-01,192.5,227.4,227.5,151.6,183.7,184.3,225.7,204.9,205.4,181.9,170.1,215.6,169.7,206.0,200.4,195.0,188.2
1951-11-01,38.5,32.7,32.8,54.7,48.5,27.5,37.7,28.7,28.7,39.2,44.3,28.3,45.9,35.0,29.6,29.0,28.3
1951-12-01,51.8,51.2,51.4,69.9,42.7,38.1,53.2,51.6,51.5,59.5,49.6,42.7,65.1,61.3,52.3,50.7,48.7
1952-01-01,33.0,38.9,39.0,39.1,39.3,19.3,38.1,25.9,26.0,23.3,27.0,38.1,15.2,41.9,35.0,30.7,25.3
1952-02-01,52.0,61.5,61.5,61.1,42.5,43.6,62.9,52.3,52.4,42.9,57.4,65.0,74.9,46.4,58.5,52.0,43.9
1952-03-01,124.3,163.3,163.3,115.7,107.0,110.7,178.7,121.5,121.9,99.7,106.1,152.4,111.7,137.6,136.8,125.3,110.9
1952-04-01,195.7,204.4,204.6,180.2,181.8,192.0,207.6,205.3,205.5,203.2,199.5,209.7,223.8,195.2,200.8,195.4,188.6
1952-05-01,212.0,203.6,203.8,226.9,196.6,222.7,214.4,227.7,227.9,211.8,221.0,237.9,247.1,182.4,204.0,202.4,200.4
1952-06-01,224.7,233.1,233.0,254.6,227.7,226.9,223.7,202.2,202.2,204.6,236.4,198.5,265.3,230.9,233.8,229.2,223.3
1952-07-01,261.4,269.1,269.2,306.9,296.0,267.1,259.3,209.4,209.4,211.0,266.1,236.3,302.3,281.3,245.1,251.7,259.9
1952-08-01,207.5,220.3,220.1,238.0,227.1,195.1,214.9,184.4,184.7,176.2,198.4,186.7,218.7,223.0,196.2,195.8,195.3
